dataset_id,model_type,method,ate_hat
56,Parametric,Levis IWOR,0.24552601179260874
57,Non-Parametric,Levis IWOR,0.26758898946733534
57,Parametric,Levis IWOR,0.26195932887108175
58,Non-Parametric,Levis IWOR,0.28335987883640434
58,Parametric,Levis IWOR,0.2695763360995565
59,Non-Parametric,Levis IWOR,0.27247502361357745
59,Parametric,Levis IWOR,0.2633390304716407
60,Non-Parametric,Levis IWOR,0.276100690039229
60,Parametric,Levis IWOR,0.2643271398827224
61,Non-Parametric,Levis IWOR,0.2602880543740513
61,Parametric,Levis IWOR,0.2568248359943218
62,Non-Parametric,Levis IWOR,0.26770154976600724
62,Parametric,Levis IWOR,0.26070736144281953
63,Non-Parametric,Levis IWOR,0.258499313954558
63,Parametric,Levis IWOR,0.2521089039151085
64,Non-Parametric,Levis IWOR,0.25806386800951664
64,Parametric,Levis IWOR,0.24989726480664737
65,Non-Parametric,Levis IWOR,0.28570616899733803
65,Parametric,Levis IWOR,0.2736728829263071
66,Non-Parametric,Levis IWOR,0.26401403210890617
66,Parametric,Levis IWOR,0.25440984403280403
67,Non-Parametric,Levis IWOR,0.2739463749857485
67,Parametric,Levis IWOR,0.25829124436758977
68,Non-Parametric,Levis IWOR,0.2702197789551086
68,Parametric,Levis IWOR,0.2565727039206135
69,Non-Parametric,Levis IWOR,0.27115800497375053
69,Parametric,Levis IWOR,0.25490473723167595
70,Non-Parametric,Levis IWOR,0.27363681875133694
70,Parametric,Levis IWOR,0.25817865510426563
71,Non-Parametric,Levis IWOR,0.2795299052273338
71,Parametric,Levis IWOR,0.26509211093000074
72,Non-Parametric,Levis IWOR,0.2694878729517985
72,Parametric,Levis IWOR,0.24912094401493312
73,Non-Parametric,Levis IWOR,0.26252476775358863
73,Parametric,Levis IWOR,0.24817274712227858
74,Non-Parametric,Levis IWOR,0.27661720631194353
74,Parametric,Levis IWOR,0.25815272924677923
75,Non-Parametric,Levis IWOR,0.2808434502449295
75,Parametric,Levis IWOR,0.2625780501132857
76,Non-Parametric,Levis IWOR,0.2702918806744887
76,Parametric,Levis IWOR,0.2601132922703791
77,Non-Parametric,Levis IWOR,0.2622520826653618
77,Parametric,Levis IWOR,0.24934300699787632
78,Non-Parametric,Levis IWOR,0.28250937554937094
78,Parametric,Levis IWOR,0.26636552296289684
79,Non-Parametric,Levis IWOR,0.26597169160669565
79,Parametric,Levis IWOR,0.25359656007271963
80,Non-Parametric,Levis IWOR,0.27645056897850945
80,Parametric,Levis IWOR,0.2706895803603251
81,Non-Parametric,Levis IWOR,0.2579369185332893
81,Parametric,Levis IWOR,0.24656594643795135
82,Non-Parametric,Levis IWOR,0.28733245730378676
82,Parametric,Levis IWOR,0.26626752886216365
83,Non-Parametric,Levis IWOR,0.26702390504113116
83,Parametric,Levis IWOR,0.25819024609752417
84,Non-Parametric,Levis IWOR,0.27098045278263594
84,Parametric,Levis IWOR,0.259302618951914
85,Non-Parametric,Levis IWOR,0.263218691981125
85,Parametric,Levis IWOR,0.25133227445415945
86,Non-Parametric,Levis IWOR,0.25479262485651394
86,Parametric,Levis IWOR,0.24618579327487983
87,Non-Parametric,Levis IWOR,0.28544590142153314
87,Parametric,Levis IWOR,0.265104937329383
88,Non-Parametric,Levis IWOR,0.263800273496709
88,Parametric,Levis IWOR,0.25419978836240914
89,Non-Parametric,Levis IWOR,0.2705052115687975
89,Parametric,Levis IWOR,0.259944449218276
90,Non-Parametric,Levis IWOR,0.26908004926221374
90,Parametric,Levis IWOR,0.2619916754754793
91,Non-Parametric,Levis IWOR,0.2602212536863757
91,Parametric,Levis IWOR,0.252580135804322
92,Non-Parametric,Levis IWOR,0.27335518282103183
92,Parametric,Levis IWOR,0.25864214996082757
93,Non-Parametric,Levis IWOR,0.2707343021772892
93,Parametric,Levis IWOR,0.25364094069561816
94,Non-Parametric,Levis IWOR,0.2644863902901529
94,Parametric,Levis IWOR,0.259034993067369
95,Non-Parametric,Levis IWOR,0.27165486580956966
95,Parametric,Levis IWOR,0.26273843305450406
96,Non-Parametric,Levis IWOR,0.2716358373997617
96,Parametric,Levis IWOR,0.26259504998518124
97,Non-Parametric,Levis IWOR,0.258654724322723
97,Parametric,Levis IWOR,0.24291685124609125
98,Non-Parametric,Levis IWOR,0.27811101430691915
98,Parametric,Levis IWOR,0.2647293687604456
99,Non-Parametric,Levis IWOR,0.2795054783009211
99,Parametric,Levis IWOR,0.2605765700552589
100,Non-Parametric,Levis IWOR,0.2731677794625428
100,Parametric,Levis IWOR,0.2604132307987512
101,Non-Parametric,Levis IWOR,0.28366558821601395
101,Parametric,Levis IWOR,0.2702524437979616
102,Non-Parametric,Levis IWOR,0.28010937566912997
102,Parametric,Levis IWOR,0.264155227669901
103,Non-Parametric,Levis IWOR,0.2782322994149032
103,Parametric,Levis IWOR,0.26522022343283214
104,Non-Parametric,Levis IWOR,0.2649486457744379
104,Parametric,Levis IWOR,0.251823047617691
105,Non-Parametric,Levis IWOR,0.27113218664007127
105,Parametric,Levis IWOR,0.2549620080850915
106,Non-Parametric,Levis IWOR,0.2836663378346673
106,Parametric,Levis IWOR,0.272003122771037
107,Non-Parametric,Levis IWOR,0.2638217383051398
107,Parametric,Levis IWOR,0.253801924285991
108,Non-Parametric,Levis IWOR,0.27229790945571286
108,Parametric,Levis IWOR,0.2597305556122777
109,Non-Parametric,Levis IWOR,0.2591802591676998
109,Parametric,Levis IWOR,0.2474317385595822
110,Non-Parametric,Levis IWOR,0.26347443163234896
110,Parametric,Levis IWOR,0.2479111695622126
111,Non-Parametric,Levis IWOR,0.2575628204209557
111,Parametric,Levis IWOR,0.2488316990866523
112,Non-Parametric,Levis IWOR,0.2557853671206188
112,Parametric,Levis IWOR,0.24644088722612967
113,Non-Parametric,Levis IWOR,0.2701319264982931
113,Parametric,Levis IWOR,0.2571875490413358
114,Non-Parametric,Levis IWOR,0.27109527191540417
114,Parametric,Levis IWOR,0.2518875881717678
115,Non-Parametric,Levis IWOR,0.2697705337956025
115,Parametric,Levis IWOR,0.26060462769712234
116,Non-Parametric,Levis IWOR,0.2646462121004661
116,Parametric,Levis IWOR,0.2540153441285667
117,Non-Parametric,Levis IWOR,0.2786292236825564
117,Parametric,Levis IWOR,0.26024569656835095
118,Non-Parametric,Levis IWOR,0.27760015501400703
118,Parametric,Levis IWOR,0.26542620821999985
119,Non-Parametric,Levis IWOR,0.2763101755591188
119,Parametric,Levis IWOR,0.26610788358604087
120,Non-Parametric,Levis IWOR,0.2636811439799108
120,Parametric,Levis IWOR,0.2596555775601903
121,Non-Parametric,Levis IWOR,0.2783693362542895
121,Parametric,Levis IWOR,0.26093608088445547
122,Non-Parametric,Levis IWOR,0.25482776204044766
122,Parametric,Levis IWOR,0.24795689562358625
123,Non-Parametric,Levis IWOR,0.2747957579779546
123,Parametric,Levis IWOR,0.25225008697180845
124,Non-Parametric,Levis IWOR,0.2796824696412874
124,Parametric,Levis IWOR,0.2663497748285887
125,Non-Parametric,Levis IWOR,0.2772671290389518
125,Parametric,Levis IWOR,0.2560736460099511
126,Non-Parametric,Levis IWOR,0.267194337297144
126,Parametric,Levis IWOR,0.25722714275994774
127,Non-Parametric,Levis IWOR,0.27819154626546105
127,Parametric,Levis IWOR,0.25801891497953094
128,Non-Parametric,Levis IWOR,0.2722379593343476
128,Parametric,Levis IWOR,0.25727136865415523
129,Non-Parametric,Levis IWOR,0.2698415454390664
129,Parametric,Levis IWOR,0.26098482977406845
130,Non-Parametric,Levis IWOR,0.25707244756722303
130,Parametric,Levis IWOR,0.24278748951055112
131,Non-Parametric,Levis IWOR,0.2833042711500664
131,Parametric,Levis IWOR,0.2669995181845653
132,Non-Parametric,Levis IWOR,0.27477423380047583
132,Parametric,Levis IWOR,0.2616481417373142
133,Non-Parametric,Levis IWOR,0.271205384362164
133,Parametric,Levis IWOR,0.2550909148505277
134,Non-Parametric,Levis IWOR,0.26495995829651076
134,Parametric,Levis IWOR,0.25102627901859986
135,Non-Parametric,Levis IWOR,0.2412769807155542
135,Parametric,Levis IWOR,0.23730932349835138
136,Non-Parametric,Levis IWOR,0.26509941491264066
136,Parametric,Levis IWOR,0.24852900398624506
137,Non-Parametric,Levis IWOR,0.2717444865278129
137,Parametric,Levis IWOR,0.26021057786681057
138,Non-Parametric,Levis IWOR,0.2683871665239701
138,Parametric,Levis IWOR,0.2619294486090934
139,Non-Parametric,Levis IWOR,0.2723704494393786
139,Parametric,Levis IWOR,0.2549771836177076
140,Non-Parametric,Levis IWOR,0.27059790328631067
140,Parametric,Levis IWOR,0.2555514308749053
141,Non-Parametric,Levis IWOR,0.27560453526069917
141,Parametric,Levis IWOR,0.26054844674575695
142,Non-Parametric,Levis IWOR,0.2684151553057531
142,Parametric,Levis IWOR,0.2562375569722527
143,Non-Parametric,Levis IWOR,0.2718799478691911
143,Parametric,Levis IWOR,0.2580691024552641
144,Non-Parametric,Levis IWOR,0.2697532055729126
144,Parametric,Levis IWOR,0.2618112624861529
145,Non-Parametric,Levis IWOR,0.2722938838885145
145,Parametric,Levis IWOR,0.25711296129182915
146,Non-Parametric,Levis IWOR,0.2799818217448926
146,Parametric,Levis IWOR,0.2677997605767958
147,Non-Parametric,Levis IWOR,0.27338859041234975
147,Parametric,Levis IWOR,0.25914882268237344
148,Non-Parametric,Levis IWOR,0.2789838367392704
148,Parametric,Levis IWOR,0.2711496748696167
149,Non-Parametric,Levis IWOR,0.27394775991326203
149,Parametric,Levis IWOR,0.2619725512962888
150,Non-Parametric,Levis IWOR,0.2760241770157418
